,Rice,Sugarcane,Cotton,Area
0,36521.990429481586,15712.924530411925,644030.4962490784,10000
1,36521.990429481586,15712.924530411925,644030.4962490784,10001
2,36521.990429481586,15712.924530411925,978563.6292511377,10002
3,36521.990429481586,15712.924530411925,978563.6292511377,10003
4,36521.990429481586,15712.924530411925,978563.6292511377,10004
5,36521.990429481586,15712.924530411925,978563.6292511377,10005
6,36570.18189825839,21141.47354850302,943787.1744498279,10006
7,36347.90168571429,20801.445467491198,604938.9544498279,10007
8,36347.90168571429,20801.445467491198,604938.9544498279,10008
9,36457.86542857143,22036.298952316232,604938.9544498279,10009
10,36416.111428571436,22102.065809250693,604938.9544498279,10010
11,36416.111428571436,22102.065809250693,608459.4844498279,10011
12,36013.97942857143,17956.334,608459.4844498279,10012
13,36013.97942857143,17956.334,608459.4844498279,10013
14,36067.531428571434,18920.27,608459.4844498279,10014
15,36332.60676190476,25266.248,608459.4844498279,10015
16,36366.66676190476,25756.712,608459.4844498279,10016
17,36366.66676190476,25686.76,608459.4844498279,10017
18,36379.45076190476,25770.952,608459.4844498279,10018
19,35135.36047619048,20025.052,608459.4844498279,10019
20,35012.28247619048,18439.524,608459.4844498279,10020
21,34946.93847619048,17951.144,608459.4844498279,10021
22,34607.43047619048,16637.644,600474.1494285715,10022
23,33527.27847619048,12062.388,558334.9794285714,10023
24,33521.06847619047,12033.08,558334.9794285714,10024
25,33499.57847619047,11702.134,558334.9794285714,10025
26,34293.66327619048,16910.521200000003,558334.9794285714,10026
27,34157.975276190475,16910.521200000003,536246.3394285715,10027
28,34238.80167619048,18059.3868,475862.74742857146,10028
29,34238.80167619048,18059.3868,475862.74742857146,10029
30,34238.80167619048,18059.3868,475862.74742857146,10030
31,34243.34167619048,18068.466800000002,475862.74742857146,10031
32,34243.34167619048,18068.466800000002,475862.74742857146,10032
33,34289.42167619048,18374.9228,475862.74742857146,10033
34,34289.42167619048,18374.9228,475862.74742857146,10034
35,34309.25167619048,18517.4368,475862.74742857146,10035
36,34473.95807619047,19332.158799999997,475862.74742857146,10036
37,34473.95807619047,19332.158799999997,475862.74742857146,10037
38,33904.63207619047,17119.905600000002,475862.74742857146,10038
39,33904.63207619047,17123.553600000003,475862.74742857146,10039
40,33810.86247619048,16657.1508,475862.74742857146,10040
41,33813.49447619048,16709.2588,504950.4318730159,10041
42,33809.60247619048,16699.8848,556938.6795555556,10042
43,33809.60247619048,16699.8848,551758.5195555555,10043
44,33859.842476190475,16699.8848,551758.5195555555,10044
45,32644.982476190475,11516.294,551758.5195555555,10045
46,32644.982476190475,11516.294,672886.2795555555,10046
47,31742.91180952381,10377.758,998856.2935555556,10047
48,31745.857809523808,10454.354,998856.2935555556,10048
49,32085.05780952381,12369.438,998856.2935555556,10049
50,32085.05780952381,12348.398,998288.644,10050
51,19501.174571428568,14390.946,997128.864,10051
52,19997.448571428566,17375.634,995978.392,10052
53,19997.448571428566,17375.634,995978.392,10053
54,20032.242571428567,17522.542,995978.392,10054
55,20032.242571428567,17522.542,996352.858,10055
56,19896.430571428566,16967.274,998300.52,10056
57,18795.059904761903,12605.87,998300.52,10057
58,18795.059904761903,12605.87,998300.52,10058
59,18806.849904761904,12649.1,998300.52,10059
60,18806.849904761904,12651.812,998300.52,10060
61,18793.509904761904,12558.432,998300.52,10061
62,18476.921904761904,10830.376,998300.52,10062
63,18476.921904761904,10801.934,2091366.206,10063
64,18476.921904761904,10801.934,2091366.206,10064
65,18476.921904761904,10801.934,2091366.206,10065
66,18475.759904761904,10806.138,2091366.206,10066
67,18432.601904761905,10604.734,2091366.206,10067
68,18432.601904761905,10604.734,2091366.206,10068
69,18346.311904761904,9656.336,2091366.206,10069
70,18346.311904761904,9656.336,2091366.206,10070
71,18374.3719047619,9748.416,2091366.206,10071
72,18267.243904761905,9102.3,2113939.29,10072
73,18262.319904761902,9089.0,2113939.29,10073
74,18238.667904761904,9018.044,2113939.29,10074
75,18702.5679047619,9018.044,2113939.29,10075
76,18820.7919047619,9777.922,2113939.29,10076
77,18416.679904761902,8419.906,2115535.766,10077
78,18416.7639047619,8420.83,2115535.766,10078
79,18416.7639047619,8420.83,2115535.766,10079
80,17887.13019047619,8513.733,2115535.766,10080
81,18067.07019047619,10066.233,2115535.766,10081
82,18067.07019047619,10066.233,1190026.442,10082
83,18067.09019047619,10066.753,1190026.442,10083
84,18025.73819047619,10066.753,1190026.442,10084
85,18025.73819047619,10190.7548,1190026.442,10085
86,18025.73819047619,10190.7548,1190026.442,10086
87,19252.356857142855,16031.6288,1190026.442,10087
88,19252.356857142855,16031.6288,1190026.442,10088
89,19391.604857142855,16604.092800000002,1190026.442,10089
90,19391.604857142855,16604.092800000002,1190489.69,10090
91,19426.882857142853,17144.2222,611638.994,10091
92,19426.882857142853,17177.0782,623621.602,10092
93,18591.322857142855,12606.798200000001,623621.602,10093
94,18591.322857142855,12606.798200000001,623621.602,10094
95,18431.808857142856,11922.786619047618,623621.602,10095
96,18443.648857142856,11995.059952380952,605522.162,10096
97,18692.477533333327,16000.632395238099,611912.978,10097
98,18780.39753333333,16883.412395238105,611912.978,10098
99,18780.39753333333,17018.830395238107,611912.978,10099
100,18838.842190476185,21117.760620634916,613647.2328571429,10100
101,18849.746190476188,21837.13328730158,613647.2328571429,10101
102,19866.274023809518,23588.69133333333,613647.2328571429,10102
103,17761.480023809523,12763.591333333336,613647.2328571429,10103
104,17761.480023809523,12706.007333333337,613647.2328571429,10104
105,17706.39069047619,12007.526,623579.9328571429,10105
106,17698.190023809526,11662.2115,725249.79,10106
107,17716.538023809528,11672.724166666669,725249.79,10107
108,18577.003857142856,14247.1935,725249.79,10108
109,18597.228857142854,14656.8285,726435.258,10109
110,18597.228857142854,14656.8285,726435.258,10110
111,19234.082190476187,18379.2285,721208.556,10111
112,19375.89219047619,19075.1585,721039.282,10112
113,19375.89219047619,19069.2045,721039.282,10113
114,19156.542190476186,17359.531,721039.282,10114
115,19156.542190476186,17377.001,721039.282,10115
116,19156.542190476186,17377.001,721039.282,10116
117,19259.128190476185,17554.445,721039.282,10117
118,19270.376190476185,17616.309,726984.718,10118
119,19143.542190476186,16882.629,727026.688,10119
120,18997.294190476183,15856.567,726417.62,10120
121,18947.504190476182,15596.127,715886.834,10121
122,18947.504190476182,15479.549,715886.834,10122
123,18938.740190476183,15445.745,651568.754,10123
124,18938.740190476183,15445.745,651568.754,10124
125,30768.40685714285,15445.745,651568.754,10125
126,30579.28685714285,15259.937,598930.604,10126
127,30579.28685714285,15259.937,598930.604,10127
128,30600.47685714285,15387.077,597481.886,10128
129,30672.66085714285,15919.8365,595418.47,10129
130,29637.35533333333,15919.8365,595418.47,10130
131,29748.881333333327,16021.6885,595418.47,10131
132,29809.15333333333,16081.9605,595418.47,10132
133,29809.15333333333,16081.9605,583644.118,10133
134,30664.86533333333,16108.162,577602.254,10134
135,30664.86533333333,16140.418,577602.254,10135
136,30649.493333333332,16145.806,577602.254,10136
137,31206.663333333334,16705.656,577602.254,10137
138,32467.691333333332,17884.574,500930.186,10138
139,32467.691333333332,17884.574,500173.946,10139
140,34661.931333333334,20338.844,500173.946,10140
141,34701.039333333334,20787.234,500173.946,10141
142,34701.039333333334,20787.234,500173.946,10142
143,34787.622,21468.854,501056.27,10143
144,34787.622,21468.854,501056.27,10144
145,34744.278,21488.01,501056.27,10145
146,34762.842,21785.034,481039.606,10146
147,34762.842,21845.894,481039.606,10147
148,34810.8,23182.778,522255.646,10148
149,34838.54,23211.578,526319.914,10149
150,34838.54,23674.612,526319.914,10150
151,34838.54,23614.958,524078.946,10151
152,32153.436000000005,21145.364,524078.946,10152
153,32125.240000000005,20919.796,524078.946,10153
154,18754.168000000005,19449.118,522447.006,10154
155,18754.168000000005,19449.118,522447.006,10155
156,18754.168000000005,19444.722,491255.958,10156
157,18708.630000000005,19399.184,491255.958,10157
158,16515.95,18966.772,491255.958,10158
159,16515.95,18966.772,491255.958,10159
160,16804.47,21110.96,491979.252,10160
161,16801.136666666665,21160.68,472853.028,10161
162,18138.13466666667,22141.25332,450061.172,10162
163,25389.69066666667,24102.87332,457852.816,10163
164,25389.69066666667,24102.87332,457852.816,10164
165,25386.466666666667,23193.15332,459095.826,10165
166,25922.322666666667,23835.07532,471911.944,10166
167,26183.408666666666,26039.08332,472352.42,10167
168,26199.308666666668,26036.56932,472352.42,10168
169,26199.308666666668,26036.56932,472352.42,10169
170,26098.770666666667,23484.09532,483063.482,10170
171,24991.952666666668,22482.13532,519749.186,10171
172,21343.844666666668,10455.97932,519749.186,10172
173,21118.290666666668,9368.59332,535945.486,10173
174,21118.290666666668,9368.59332,576875.138,10174
175,22846.146666666667,17115.41196,589301.612,10175
176,22824.928,17115.41196,720446.516,10176
177,22824.928,17115.41196,720446.516,10177
178,22780.646,16010.455360000002,720446.516,10178
179,22780.646,15893.591960000003,875038.82,10179
180,22780.646,15893.591960000003,899371.228,10180
181,22780.646,15893.591960000003,899371.228,10181
182,22780.646,15785.031920000003,899371.228,10182
183,22780.646,15697.685674545457,899371.228,10183
184,22943.077200000003,16385.042554545467,901928.188,10184
185,21292.844457142866,14507.992291688335,901928.188,10185
186,21292.844457142866,14507.992291688335,910457.628,10186
187,21016.386577142875,13480.633651688373,910457.628,10187
188,20988.68108406928,13252.824994040464,1142813.188,10188
189,20988.68108406928,13252.824994040464,1147120.332,10189
190,21608.64108406928,13252.824994040464,1147120.332,10190
191,21512.90738007883,13019.57229909554,1147120.332,10191
192,21512.90738007883,13019.57229909554,816661.068,10192
193,21512.90738007883,13019.57229909554,1091644.864,10193
194,17679.323380078822,13019.57229909554,1091644.864,10194
195,17679.323380078822,13019.57229909554,1097524.912,10195
196,17607.275380078823,13019.57229909554,1078834.432,10196
197,17774.611077080815,13953.617055170758,885071.224,10197
198,17774.611077080815,13953.617055170758,887295.016,10198
199,17774.611077080815,13953.617055170758,960039.772,10199
200,17343.355077080814,13953.617055170758,960039.772,10200
201,23045.64290554796,32660.415401892868,960039.772,10201
202,23045.64290554796,32660.415401892868,959216.236,10202
203,23045.64290554796,32660.415401892868,1245895.276,10203
204,23045.64290554796,32660.415401892868,1245895.276,10204
205,23102.98690554796,32660.415401892868,1244260.584,10205
206,23252.035122863977,33296.540238074325,1205946.888,10206
207,19363.071122863978,22053.35691807433,1205946.888,10207
208,19363.071122863978,22053.35691807433,1204553.684,10208
209,17506.39191818182,21861.80707806638,1204553.684,10209
210,15829.8345,17645.52636940837,1176570.164,10210
211,15216.054,15659.400980519478,1174023.624,10211
212,15216.054,15659.400980519478,791653.934,10212
213,15216.054,15659.400980519478,791653.934,10213
214,15216.054,15659.400980519478,789803.996,10214
215,14721.726,13581.520980519479,789325.392,10215
216,14669.508,13677.27248051948,767319.326,10216
217,14669.508,13686.58448051948,767319.326,10217
218,14669.508,13686.58448051948,604823.276,10218
219,15151.988,16146.056480519479,596368.592,10219
220,15248.058,18163.98848051948,596368.592,10220
221,15248.058,18102.418909090906,545585.028,10221
222,15419.106,18672.578909090906,545585.028,10222
223,15419.106,18672.578909090906,545585.028,10223
224,15419.106,18672.578909090906,545585.028,10224
225,15687.714,20175.426909090907,495454.244,10225
226,21158.82,33964.78090909091,492540.54,10226
227,21158.82,33964.78090909091,492540.54,10227
228,21158.82,33964.78090909091,478119.058,10228
229,21158.82,34127.986909090905,474232.57,10229
230,21227.436,34657.588909090904,473938.252,10230
231,21341.918,35298.998,450838.828,10231
232,21341.918,35298.998,450838.828,10232
233,21341.918,35361.542,450838.828,10233
234,21405.216,35714.056,462431.722,10234
235,21405.216,35714.056,462431.722,10235
236,17658.96,28131.646,453823.554,10236
237,17674.008,28161.742,450522.858,10237
238,17674.008,28196.926,448968.666,10238
239,17674.008,28187.374,448968.666,10239
240,16309.404,24334.55,448968.666,10240
241,15632.612,23662.11,448968.666,10241
242,15632.612,23662.11,448968.666,10242
243,15632.612,23662.11,446266.046,10243
244,15465.398,22061.442,462416.48,10244
245,15465.398,22061.442,462416.48,10245
246,15062.806,21073.968,462416.48,10246
247,15062.806,21073.968,462416.48,10247
248,15062.806,21073.968,497519.576,10248
249,14064.618,20009.7,497811.016,10249
250,13927.212,19314.5,504006.208,10250
251,13927.212,19237.63,503572.208,10251
252,13822.812,18245.83,499886.136,10252
253,13822.812,18245.83,497959.016,10253
254,13766.54,16227.3,509125.966,10254
255,13715.762,16092.778,509125.966,10255
256,13808.606,16182.586,509125.966,10256
257,13808.606,16182.586,509125.966,10257
258,13049.176,11789.848,509125.966,10258
259,13067.354,11878.75,509125.966,10259
260,14163.032,16770.182,509035.286,10260
261,14061.924,16836.038,509035.286,10261
262,14061.924,16836.038,461119.296,10262
263,14061.924,16836.038,461119.296,10263
264,14061.924,16827.884,479463.11,10264
265,14061.924,16827.884,479463.11,10265
266,14061.924,16816.498,480421.086,10266
267,13924.484,16816.498,480421.086,10267
268,13922.13,16788.25,585275.132,10268
269,13922.13,16788.25,586464.474,10269
270,13894.2,16888.086,586464.474,10270
271,14012.214,17371.712,586274.27,10271
272,14012.214,17371.712,586274.27,10272
273,14041.222,17371.712,586274.27,10273
274,14035.166,17347.488,586274.27,10274
275,13991.39,17347.488,586274.27,10275
276,13488.02,17497.472,586274.27,10276
277,13501.14,17607.352,586464.002,10277
278,13528.148,17674.872,586464.002,10278
279,13316.512,17488.17,586401.13,10279
280,13396.845599999999,17541.502666666664,586401.13,10280
281,13406.8576,17507.663716666666,587001.85,10281
282,13406.8576,17507.663716666666,587001.85,10282
283,13406.8576,17507.663716666666,587001.85,10283
284,13247.779923809523,17507.663716666666,601846.702,10284
285,13247.779923809523,17507.663716666666,542894.266,10285
286,13215.427923809522,17376.233716666666,542894.266,10286
287,13215.427923809522,17376.233716666666,542894.266,10287
288,13097.283923809522,16785.513716666665,542894.266,10288
289,13097.283923809522,16785.513716666665,542894.266,10289
290,13083.476546031745,16574.720296031745,542894.266,10290
291,13083.476546031745,16574.720296031745,542530.756,10291
292,13083.476546031745,16549.544296031745,542530.756,10292
293,13083.476546031745,16549.544296031745,542530.756,10293
294,12765.800546031745,15171.008296031745,542530.756,10294
295,12765.800546031745,15171.008296031745,547084.916,10295
296,12732.622855555555,14964.282983333334,547084.916,10296
297,12732.622855555555,14964.282983333334,524880.604,10297
298,12732.622855555555,14890.776983333335,524880.604,10298
299,13020.680294444446,16202.63914603174,524880.604,10299
300,13020.680294444446,16191.75514603174,524838.764,10300
301,13009.138294444445,16085.003146031742,524838.764,10301
302,13004.964294444446,16076.655146031742,524869.574,10302
303,11442.54896825397,9728.56860793651,524869.574,10303
304,11148.968250793652,8617.558534126983,524869.574,10304
305,11148.968250793652,8617.558534126983,524869.574,10305
306,11464.104361904763,10781.770238095238,527717.894,10306
307,11464.104361904763,10781.770238095238,527717.894,10307
308,11663.156361904763,11691.722238095237,520845.21,10308
309,11699.996490476191,11826.151866666665,520845.21,10309
310,11699.996490476191,11853.204166666666,520845.21,10310
311,11994.032263492063,12757.038333333334,520845.21,10311
312,12322.180096825396,13731.603333333334,510644.0,10312
313,12443.008096825395,14092.804666666669,510644.0,10313
314,12979.101596825392,16368.818333333333,509793.494,10314
315,13147.565596825392,17171.56633333333,509793.494,10315
316,13219.035596825393,17248.03633333333,509793.494,10316
317,13223.515596825393,17252.51633333333,509793.494,10317
318,14597.06943015873,20638.511309523805,509624.258,10318
319,15102.395263492064,22244.415333333334,509624.258,10319
320,16022.566596825396,23210.972833333337,501252.668,10320
321,20710.306596825398,36526.366,501252.668,10321
322,15905.092596825396,23240.682,501252.668,10322
323,15933.892596825397,23321.322,504679.154,10323
324,13572.042596825397,17381.492,504679.154,10324
325,13572.042596825397,17381.492,504679.154,10325
326,14019.636196825399,17381.492,504679.154,10326
327,14017.804196825398,17381.492,504679.154,10327
328,14017.804196825398,17381.492,504679.154,10328
329,14022.604196825398,17387.44,504679.154,10329
330,14019.676196825398,17378.656,504679.154,10330
331,13374.260196825398,16075.436,504679.154,10331
332,13707.956196825398,17013.309,504679.154,10332
333,14440.910196825396,19784.76,505738.568,10333
334,14142.680196825399,19215.78173333333,505738.568,10334
335,14273.676196825398,19690.941980952382,510579.682,10335
336,14860.172630158728,21578.022314285718,510579.682,10336
337,14860.172630158728,21578.022314285718,510579.682,10337
338,15062.324630158728,21946.702314285718,510579.682,10338
339,15062.324630158728,21931.756314285718,528904.45,10339
340,15062.324630158728,21905.72831428572,528904.45,10340
341,15062.324630158728,21905.72831428572,528904.45,10341
342,15067.668630158729,21905.72831428572,528904.45,10342
343,15067.668630158729,21905.72831428572,528904.45,10343
344,15393.724806349202,22826.471233333337,528904.45,10344
345,15494.284806349204,23188.487233333337,528904.45,10345
346,15494.284806349204,23188.487233333337,528904.45,10346
347,15494.284806349204,23048.56723333334,512231.266,10347
348,17063.208030158727,27559.040400000005,518912.196,10348
349,17063.208030158727,27559.040400000005,518912.196,10349
350,16394.494196825395,25662.558566666663,548788.696,10350
351,13715.971196825398,18043.770399999998,549597.896,10351
352,12958.917196825398,15241.4104,549597.896,10352
353,12958.917196825398,15241.4104,549597.896,10353
354,12191.489196825398,12758.8164,549597.896,10354
355,12191.489196825398,12758.8164,549597.896,10355
356,12191.489196825398,12758.8164,549597.896,10356
357,12191.489196825398,12758.8164,549597.896,10357
358,12191.489196825398,12722.7684,489374.636,10358
359,12191.489196825398,12722.7684,489374.636,10359
360,12191.489196825398,12754.9824,494918.428,10360
361,12024.070196825398,12418.007,568554.328,10361
362,12024.070196825398,12418.007,569917.414,10362
363,11329.774196825398,10816.295,569419.006,10363
364,11245.534196825398,10473.575,569419.006,10364
365,11740.896196825399,12119.015,569419.006,10365
366,11740.896196825399,12119.015,569419.006,10366
367,11740.896196825399,12119.015,569419.006,10367
368,11666.712196825398,12044.831,569419.006,10368
369,11663.724196825398,12041.843,569419.006,10369
370,11702.444196825398,12089.547,569419.006,10370
371,11702.444196825398,12089.547,607807.698,10371
372,11685.272196825397,12156.024,607807.698,10372
373,11685.314196825399,12156.234,937393.576,10373
374,11685.314196825399,12071.91,935836.556,10374
375,11796.066196825399,12921.394,935836.556,10375
376,11871.269530158732,15668.456,935836.556,10376
377,11871.269530158732,15668.456,935836.556,10377
378,11871.269530158732,15668.456,935836.556,10378
379,11871.269530158732,15708.966,935836.556,10379
380,11871.269530158732,15771.078,935836.556,10380
381,11900.501530158732,15800.31,935836.556,10381
382,11900.501530158732,15800.31,935836.556,10382
383,11651.921530158732,15557.254,1047445.436,10383
384,11651.921530158732,15557.254,1047445.436,10384
385,11651.921530158732,15557.254,1059106.314,10385
386,12067.213530158731,21361.27,1100525.946,10386
387,12092.100863492064,21912.81,1100525.946,10387
388,7843.548863492064,20545.486,1100525.946,10388
389,7843.548863492064,20545.486,1042751.502,10389
390,7843.548863492064,20800.3,1015310.486,10390
391,8461.974863492063,21429.922,1015310.486,10391
392,8484.860196825397,21467.532,1015310.486,10392
393,9554.49574314574,21640.217666666667,1015310.486,10393
394,14202.505209812407,26172.583666666666,1015310.486,10394
395,14202.505209812407,26172.583666666666,1015489.37,10395
396,21432.834533621928,26508.429666666663,1015489.37,10396
397,20001.008641558437,20568.779666666673,1015858.724,10397
398,20001.008641558437,20583.86366666667,798951.002,10398
399,19806.929860606062,20261.041285714284,663233.386,10399
400,19806.929860606062,20261.041285714284,661118.83,10400
401,19806.929860606062,19454.171285714285,661118.83,10401
402,19806.929860606062,19454.171285714285,529551.988,10402
403,18987.13512727273,18898.210133333334,529551.988,10403
404,14439.778895238092,18233.966533333332,529551.988,10404
405,14439.778895238092,17831.95653333333,529551.988,10405
406,13722.512806349203,17412.47653333333,529551.988,10406
407,13720.697473015869,16906.9932,530460.43,10407
408,13720.697473015869,16578.5972,492258.48,10408
409,13605.411434920632,16432.444,492258.48,10409
410,13859.18743492063,16686.22,435039.92,10410
411,13685.751434920632,15639.788,453848.486,10411
412,13712.133434920632,15674.238,442451.606,10412
413,13767.165434920631,15716.766,468766.654,10413
414,13767.165434920631,15716.766,468766.654,10414
415,13125.382901587296,11678.87,468766.654,10415
416,13158.741301587295,11907.742,467572.992,10416
417,12336.774514285713,11870.032,467572.992,10417
418,12325.698514285714,11814.396,467572.992,10418
419,13572.018514285715,16784.382,467572.992,10419
420,14506.866514285713,16784.382,467572.992,10420
421,14499.418514285713,16680.11,466274.906,10421
422,14505.910514285713,16444.432,516099.242,10422
423,14681.288514285714,17424.334,512800.742,10423
424,14317.50424761905,15932.074,524598.052,10424
425,14314.55024761905,15893.412,524598.052,10425
426,13773.024247619049,14041.065,524598.052,10426
427,13773.024247619049,14041.065,524598.052,10427
428,13821.06424761905,14305.285,521880.268,10428
429,13825.042247619049,14337.109,524135.686,10429
430,13101.437447619046,10741.961,524135.686,10430
431,13082.993447619045,10721.8422,524135.686,10431
432,13666.097827619047,11547.224826666668,524135.686,10432
433,13693.700080952383,11668.44914,542305.054,10433
434,13778.360080952383,12238.71314,542305.054,10434
435,14451.714080952384,16142.445140000007,535534.334,10435
436,14999.236080952383,17002.857140000007,541633.564,10436
437,15001.483540952382,17422.20656000002,546369.988,10437
438,15018.455540952382,17507.06656000002,546369.988,10438
439,15711.474040952393,20739.481360000067,535595.652,10439
440,15773.678040952394,20899.531026666733,535595.652,10440
441,15773.678040952394,20899.531026666733,535595.652,10441
442,16148.147420952417,22171.313826666832,535595.652,10442
443,16148.507420952417,22172.833826666832,535595.652,10443
