Type,Crop,Season,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Oilseeds,Sunflower,Rabi,0.8009,0.7556,0.9832,0.862,1.0003,0.8009,0.636314,0.459233,0.369253,0.357,0.3762
Oilseeds,Soyabean,Kharif,9.90543,6.8763,8.2735,8.8508,10.9682,9.90543,9.964477,12.736397,12.213513,14.666,11.948
Commercial,Cotton,Kharif,22.2762,16.4286,18.499,22.6318,25.8841,22.2762,24.021803,33,35.2,34.22,36.5
Commercial,Jute,Kharif,9.6344,9.3993,9.97,10.3171,10.2201,9.6344,11.230374,10.009412,10.73564,10.34,10.821
Commercial,Mesta,Kharif,0.7309,0.873,0.8701,0.9559,0.9904,0.7309,0.587028,0.610752,0.66298,0.59,0.5795
Commercial,Jute,Rabi,10.3653,10.2723,10.8396,11.273,11.2105,10.3653,11.817402,10.620164,11.39862,10.93,11.4005
Commercial,Sugarcane,Rabi,285.0293,237.0884,281.1718,355.5197,348.1879,285.0293,292.301617,342.3815552,361.036576,341.2,348.384
Plantation,Potato,Rabi,23.1,23.6,23.9,8.8508,10.9682,9.90543,9.964477,12.736397,12.213513,14.666,11.948
Plantation,Onion,,5.92,6.43,8.68,22.6318,25.8841,22.2762,24.021803,33,35.2,34.22,36.5
Plantation,Tobacco,Kharif,0.54,0.55,0.55,10.3171,10.2201,9.6344,11.230374,10.009412,10.73564,10.34,10.821
Plantation,Coconut,Rabi,12178,12833,14811,0.9559,0.9904,0.7309,0.587028,0.610752,0.66298,0.59,0.5795
Plantation,Cashewnut,,0.535,0.544,NA,11.273,11.2105,10.3653,11.817402,10.620164,11.39862,10.93,11.4005
Major,Rice,Kharif,93,93.5,87.8,355.5197,348.1879,285.0293,292.301617,342.3815552,361.036576,341.2,348.384
Major,Wheat,Rabi,78,79.5,75.53,75.53,75.5,78.5,79,82,84,88,NA
Major,Cereals,,34,36.8,36.52,36.52,37.5,42,43.1,44,42,44,NA
Major,Pulses,Kharif,15,15.3,15.15,15.15,15.5,15.5,16.5,16.5,17,18.24,NA
Major,Foodgrains,Rabi,220,225.1,215,220,221.5,233,239.1,244.5,245,254.24,NA
Major,Oilseeds,Rabi,24.7,26.2,26.58,29.4,30,31.75,31.6,33.2,33.6,33.5,NA
Major,Sugarcane,Total,320,270,237.5,270,310,340,340,315,350,352,NA
Major,Cotton,Kharif,15,15,16.5,18.5,22,26,26,26,34,35,NA
Major,Jute,Rabi,12,11.8,11.28,11.28,11,11,11.2,11.5,12.3,12,NA
Major,Rice,Kharif,88.53,83.13,91.79,93.35,96.69,99.18,89.09,95.98,104.32,104.4,NA
Major,Wheat,Total,72.15,68.64,69.35,75.81,78.57,80.68,80.8,86.87,93.9,92.46,NA
Major,Cereals,Kharif,37.6,33.46,34.06,33.92,40.76,40.03,33.55,43.68,42.01,40.06,NA
Major,Pulses,Rabi,14.91,13.13,13.39,14.2,14.76,14.57,14.66,18.24,17.21,18.45,NA
Major,Foodgrains,,213.19,198.36,208.59,217.28,230.78,234.47,218.11,244.78,257.44,255.36,NA
Major,Oilseeds,Kharif,25.19,24.35,27.98,24.29,29.76,27.72,24.88,32.48,30.01,31.01,NA
